"","Station","median","igr","gmean","p90","nlog","median_ml","iqr_ml","gmean_ml","p90_ml","nlog_ml"
"71","WJ015.50",2,0,2.44340322021325,4,39,0.61739528713613,1.39540410707537,1.07212067040684,4,39
"72","WJ016.00",2,0,2.89014587392579,5.65,68,1.33228360248722,1.38667089459664,1.59671264614419,5.65,68
"73","WJ017.00",2,0,2.95908988249164,6,31,0.611449772494606,0.724616380246403,1.21955372244327,6,31
"74","WJ017.50",4,16,6.56535122077791,46.4,69,4,17.3835752961054,4.19927094581721,46.4,69
"75","WJ018.00",5.75,20,8.5001091557618,82,66,5.75,21.3653845725504,6.15761852944707,82,66
"76","WJ018.60",2,2,3.63779667850037,22,31,2,3.38589787294776,2.0595338563382,22,31
"77","WJ019.00",2,4,4.62372388969249,24,31,0.632659248748468,5.39223216480216,2.50214421110668,24,31
"78","WJ024.00",2,0,3.23654031498602,8,31,0.636442822020781,1.38373656568273,1.69851176230006,8,31
"79","WJ026.00",2,2,4.16515353891439,22,31,0.644915535489863,3.39901304423002,2.24322345145082,22,31
"80","WJ027.30",2,0,2.32049402097921,2.16,30,0.62347712895004,1.39357200635196,1.01273858270479,2.16,30
"81","WJ027.50",2,0,2.87798374106833,11.1,30,0.619443141018647,1.39841430882055,1.25087629226137,11.1,30
"82","WJ031.50",2,0,2.99042591210346,13.4,32,0.627866856849792,1.39132206430326,1.47759621748244,13.4,32
"83","WJ032.50",2,5.65,4.12701146833004,15.8,43,2,7.03378972479045,2.51441163950854,15.8,43
"84","WJ033.20",2,4.5,3.83127682443411,16,36,2,4.5,2.94098555234317,16,36
"85","WJ034.00",2,11,6.28861863873864,64.8,55,2,12.3807633103425,4.00156535302772,64.8,55
"86","WJ035.00",2,0,3.14050812502104,20,31,0.622504180571333,1.38939982351545,1.36000814259164,20,31
"87","WJ038.00",2,0,2.32804924041575,2.40000000000001,30,0.623904707770988,1.05326627356628,0.981017739193973,2.40000000000001,30
"88","WJ046.00",2,0,2.66004008060194,4,31,0.61969835853219,0.715913726845732,1.10657475067072,4,31
"89","WJ047.00",2,0,2.44044394326057,2.40000000000001,49,0.6109684821067,0.0448540056113229,0.943027990388843,2.40000000000001,49
"90","WJ048.00",2,1.5,3.07141223732461,12,30,0.635175543254512,2.89367004562787,1.51053541905304,12,30
"91","WJ048.50",2,5.5,4.22837979455605,23.4,30,2,6.89098137608715,2.42649399902115,23.4,30
"92","WJ049.00",2,6.325,4.0455796228611,16.6,58,2,7.71140832910555,2.52292027338634,16.6,58
"93","WJ049.50",2,0,2.89609277365116,8.2,30,0.622303631348739,1.39587071039088,1.36769966937444,8.2,30
"94","WJ050.50",2,0,2.88613188819045,6.70000000000001,30,0.636771717444567,1.3857331230719,1.48291641785148,6.70000000000001,30
